 Julius Randle	LAL	44 	29.2 	5.0 	10.3 	48.9 	 	0.1 	0.5 	22.7 	 	2.8 	4.0 	71.4 	 	1.8 	6.6 	8.4 	 	3.8 	2.6 	0.8 	0.5 	3.5 	13.0 	 
 T.J. Warren	PHO	36 	28.9 	5.4 	11.8 	45.5 	 	0.4 	1.6 	27.1 	 	1.8 	2.3 	77.1 	 	1.7 	2.1 	3.8 	 	0.9 	0.8 	1.2 	0.3 	2.8 	13.0 	 
 Dirk Nowitzki	DAL	23 	25.2 	4.8 	11.9 	40.5 	 	1.4 	3.9 	35.6 	 	1.9 	2.2 	86.0 	 	0.6 	5.3 	5.9 	 	1.5 	1.0 	0.5 	0.8 	2.0 	12.9 	 
 Pau Gasol	SA	39 	26.4 	4.8 	9.4 	51.0 	 	0.5 	1.1 	46.5 	 	1.7 	2.6 	64.4 	 	1.5 	6.4 	7.9 	 	2.7 	1.3 	0.4 	1.2 	1.7 	11.7 	 
 James Johnson	MIA	45 	26.1 	4.4 	9.2 	47.3 	 	1.2 	3.4 	35.9 	 	1.7 	2.4 	70.1 	 	0.9 	4.0 	4.9 	 	3.3 	2.1 	0.9 	1.0 	2.6 	11.6 	 
 Clint Capela	HOU	37 	23.0 	5.2 	8.4 	62.5 	 	0.0 	0.0 	N/A 	 	1.2 	2.5 	48.4 	 	2.4 	5.2 	7.6 	 	0.9 	1.2 	0.4 	1.4 	2.6 	11.6 	 
 Thaddeus Young	IND	48 	31.3 	4.9 	9.5 	52.1 	 	0.9 	2.3 	39.6 	 	0.8 	1.3 	57.1 	 	1.5 	4.6 	6.0 	 	1.6 	1.5 	1.8 	0.5 	1.9 	11.5 	 
 Taj Gibson	CHI	48 	27.4 	5.0 	9.7 	51.3 	 	0.0 	0.2 	22.2 	 	1.6 	2.2 	70.8 	 	2.3 	4.8 	7.1 	 	1.1 	1.4 	0.5 	1.0 	2.2 	11.5 	 
 Aaron Gordon	ORL	51 	27.7 	4.4 	10.3 	43.1 	 	1.1 	3.6 	29.5 	 	1.5 	2.4 	63.3 	 	1.3 	3.3 	4.6 	 	1.9 	1.0 	0.7 	0.4 	2.1 	11.4 	 
 Robert Covington	PHI	44 	31.0 	3.8 	10.1 	38.1 	 	1.9 	6.0 	31.2 	 	1.7 	2.2 	80.0 	 	1.4 	4.7 	6.1 	 	1.6 	2.0 	1.8 	0.9 	3.0 	11.3 	 
 Terrence Jones	NO	48 	24.5 	4.5 	9.5 	47.3 	 	0.4 	1.5 	25.7 	 	2.0 	3.3 	60.9 	 	1.3 	4.6 	5.9 	 	1.2 	0.9 	0.8 	1.1 	1.3 	11.3 	 
 Josh Richardson	MIA	28 	31.3 	4.4 	11.1 	39.4 	 	1.6 	5.1 	31.3 	 	0.9 	1.2 	73.5 	 	0.5 	2.8 	3.3 	 	2.8 	1.5 	1.0 	0.5 	2.6 	11.2 	 
 Marvin Williams	CHA	44 	27.5 	4.0 	9.8 	40.6 	 	1.8 	5.0 	36.4 	 	1.3 	1.6 	84.1 	 	1.0 	4.4 	5.4 	 	1.3 	0.7 	0.6 	0.5 	1.6 	11.1 	 
 Greg Monroe	MIL	47 	21.5 	4.4 	8.6 	51.4 	 	0.0 	0.0 	0.0 	 	2.3 	3.1 	72.1 	 	2.1 	4.8 	6.8 	 	2.1 	1.6 	1.3 	0.5 	1.7 	11.1 	 
